MONTH,TOTAL_HOURS
2019 May,0.026856
2019 Jun,21.963688
2019 Jul,34.209281
2019 Aug,46.575728
2019 Sep,73.05853
2019 Oct,31.837938
2019 Nov,31.102783
2019 Dec,20.941507
2020 Jan,25.249625
2020 Feb,42.052226
2020 Mar,29.163445
2020 Apr,29.679552
2020 May,34.090729
2020 Jun,36.751776
2020 Jul,16.082214
2020 Aug,13.321402
2020 Sep,13.743482
2020 Oct,19.716388
2020 Nov,28.889963
2020 Dec,27.241544
2021 Jan,45.06704
2021 Feb,31.926355
2021 Mar,8.71886
2021 Apr,19.934832
2021 May,18.16712
2021 Jun,10.305611
2021 Jul,9.644303
2021 Aug,20.848923
2021 Sep,19.986448
2021 Oct,25.095091
2021 Nov,15.648742
2021 Dec,10.816796
2022 Jan,10.900873
2022 Feb,6.754861
2022 Mar,11.927239
2022 Apr,10.475074
2022 May,13.291548
2022 Jun,6.621764
2022 Jul,19.412255
2022 Aug,11.541093
2022 Sep,10.605449
2022 Oct,6.041788
2022 Nov,3.747652
2022 Dec,21.668013
2023 Jan,10.487527
2023 Feb,31.644726
2023 Mar,13.145381
2023 Apr,7.377774
2023 May,2.816077
2023 Jun,10.330906
2023 Jul,14.633795
2023 Aug,9.856797
2023 Sep,11.845369
2023 Oct,12.44319
2023 Nov,6.402606
2023 Dec,5.880647
2024 Jan,14.16007
2024 Feb,28.371221
2024 Mar,25.174521
2024 Apr,23.604514000000002
2024 May,10.296739
2024 Jun,12.530409
2024 Jul,17.513154
2024 Aug,6.261643
2024 Sep,30.323974
2024 Oct,18.256509
2024 Nov,45.608119
2024 Dec,16.506824
2025 Jan,61.688204
2025 Feb,59.455667
2025 Mar,36.937376
