.model,MONTH,TOTAL_HOURS,.mean
nn_model,2025 Apr,sample[5000],34.9582317248278
nn_model,2025 May,sample[5000],22.60264767590734
nn_model,2025 Jun,sample[5000],23.72874023074874
nn_model,2025 Jul,sample[5000],20.04017724639444
nn_model,2025 Aug,sample[5000],27.684818267336713
nn_model,2025 Sep,sample[5000],23.067825195626057
nn_model,2025 Oct,sample[5000],28.22278909197485
nn_model,2025 Nov,sample[5000],23.484938429445425
nn_model,2025 Dec,sample[5000],25.236307699516857
nn_model,2026 Jan,sample[5000],23.388763328995292
nn_model,2026 Feb,sample[5000],23.385483429432227
nn_model,2026 Mar,sample[5000],21.654530150631626
